"","AB62","AC43cAns3Q2","AC43c.Ans5Q1","AD24a.Ans1Q1","DA44A1","FA101cAR","FB56.6cQ1","FB72A3","FD39.2cQ1","FD393c","GP91c"
"G00548",0,0,1,0,2,2,0,0,0,1,0
"G00549",207,409,278,102,470,593,214,122,399,273,658
"G00550",1742,1944,2136,551,2359,2945,1325,1402,1831,1611,2153
"G00551",172,391,142,23,266,400,94,76,338,321,538
"G00552",34,22,95,21,402,451,79,60,75,81,168
"G00553",11,20,16,90,5,0,25,48,7,3,0
"G00554",1328,1343,1340,691,2740,3244,897,767,1602,1598,2292
"G00555",9,28,0,0,12,28,0,5,19,12,60
"G00556",997,1283,394,237,850,951,170,485,1059,1081,1290
"G00557",779,7778,1405,283,2197,3895,566,1142,4527,4030,5079
"G00558",1221,1939,1151,635,2241,2243,730,909,1954,1717,2068
"G00559",829,927,1183,737,1282,1315,896,416,984,684,1017
"G00560",33,17,16,18,65,24,102,34,8,18,24
"G00561",0,0,0,0,0,0,0,0,0,0,0
"G00562",0,0,0,0,0,0,0,0,0,0,0
"G00563",0,0,0,0,0,1,0,0,0,0,0
"G00564",698,882,852,304,2158,2024,909,236,816,762,1492
"G00565",0,4,1,0,2,7,0,7,5,4,4
"G00566",18,143,231,12,168,237,75,20,75,48,157
"G00567",0,0,0,120,8,0,0,9,0,0,0
"G00568",378,566,576,151,782,1157,292,309,690,555,910
"G00569",1432,1839,493,92,838,1119,154,613,1454,1217,1695
"G00570",279,432,117,25,254,264,49,158,359,397,737
"G00571",0,0,0,0,0,0,0,0,0,0,0
"G00572",141,558,481,75,614,492,642,154,373,333,711
"G00573",1435,1616,1357,362,1563,1571,381,715,1448,1208,1680
"G00574",505,624,296,76,527,537,124,298,526,442,743
"G00575",301,236,153,33,189,350,63,106,395,251,503
"G00576",293,383,163,23,269,287,64,125,324,394,415
"G00577",376,1194,314,129,467,557,38,622,750,770,683
"G00578",55,170,39,0,34,70,0,52,110,68,50
"G00579",4,20,13,0,16,33,0,5,30,26,59
"G00580",109,154,236,0,264,354,15,67,224,199,407
"G00581",409,404,134,83,251,342,75,134,380,378,500
"G00582",466,1055,97,0,292,392,57,305,575,556,910
"G00583",2,2,29,0,38,27,6,5,5,1,0
"G00584",58,57,77,5,99,110,38,9,75,65,34
"G00585",0,0,0,0,0,0,0,0,0,0,0
"G00586",22,28,10,1,16,6,1,6,2,6,0
"G00587",0,1,0,0,0,2,0,0,2,3,10
"G00588",0,0,0,0,0,0,0,0,0,0,0
"G00589",0,3,0,0,0,1,0,0,0,0,8
"G00590",349,885,651,224,1126,1149,471,313,695,600,907
"G00591",55,153,70,40,257,258,30,63,143,127,244
"G00592",21,35,84,0,153,84,9,33,62,85,37
"G00593",1123,1136,444,156,854,1310,177,199,986,940,1069
"G00594",347,496,591,220,2056,1089,409,329,684,540,686
"G00595",712,1245,831,94,884,1401,257,567,1119,1156,1283
"G00596",228,308,423,151,569,440,66,214,93,44,152
"G00597",1645,2680,913,181,1309,1812,397,912,1913,1942,2776
"G00598",642,660,590,449,864,940,381,679,814,748,936
"G00599",0,0,0,0,0,0,0,0,0,0,0
"G00600",588,951,350,42,644,935,154,394,768,754,903
"G00601",287,658,736,88,1412,1741,224,70,902,658,1555
"G00602",2,12,18,1,0,3,1,0,6,4,11
"G00603",55,69,213,27,117,272,138,55,116,51,166
"G00605",3,28,22,0,27,103,0,8,50,74,91
"G00606",19,36,54,1,8,13,0,9,42,25,17
"G00607",0,0,0,0,0,0,0,0,0,0,0
"G00608",255,495,70,15,243,358,42,185,420,443,339
"G00609",180,479,88,138,585,635,26,87,358,205,487
"G00610",0,0,0,0,0,0,0,0,0,0,0
"G00611",5,5,6,6,5,6,0,1,11,4,0
"G00612",30,88,8,28,33,23,0,48,53,30,138
"G00613",0,0,0,1,6,0,0,0,4,2,8
"G00614",65,104,5,0,71,95,0,6,64,58,169
"G00615",16,38,35,52,51,33,8,31,29,45,55
"G00616",129,255,17,21,73,138,0,42,118,167,263
"G00617",485,760,393,273,871,817,148,285,696,651,703
"G00618",390,597,261,25,453,592,169,229,416,353,305
"G00619",32,85,42,12,88,54,10,25,65,56,132
"G00620",8,13,32,8,52,27,3,21,18,15,9
"G00621",29,248,20,13,88,174,2,24,178,160,355
"G00622",121,187,233,72,199,267,53,34,147,128,205
"G00623",51,64,44,135,129,174,151,27,56,54,106
"G00624",0,0,0,0,0,0,0,0,0,0,0
"G00625",0,0,0,0,0,0,0,0,0,0,0
"G00626",20,84,11,17,59,113,85,9,73,56,209
"G00627",427,752,400,187,398,523,388,317,747,494,829
"G00628",295,127,926,271,81,569,323,211,277,140,146
"G00629",18,25,284,14,121,110,15,15,71,38,24
"G00630",0,0,35,36,21,20,17,0,5,1,1
"G00631",3267,4460,2249,4565,2038,1888,2611,6313,3389,2470,1769
"G00632",2850,4063,988,227,2727,3229,274,1783,2765,2988,2917
"G00633",0,0,0,0,0,0,0,0,0,0,0
"G00634",597,895,221,98,509,689,82,289,725,829,1168
"G00635",880,1024,572,110,1175,848,178,556,797,902,1054
"G00636",48,188,83,33,111,179,32,32,133,112,219
"G00637",670,976,266,104,483,515,75,190,816,593,946
"G00638",655,1119,1026,489,1662,1135,488,634,924,597,989
"G00639",0,0,0,0,0,0,0,0,0,0,0
"G00640",15,26,2377,19,7,81,12,26,151,21,68
"G00641",0,0,0,0,0,0,0,0,0,0,0
"G00642",903,1552,1452,990,2333,2184,713,1381,1688,1582,1952
"G00643",237,650,9953,3108,8840,6831,2661,598,7560,1483,1353
"G00644",3,2,12,0,28,32,16,11,9,6,8
"G00645",8,8,0,0,27,62,52,0,23,7,22
"G00646",18,104,19,19,67,71,23,17,59,68,163
"G00647",0,0,0,14,0,0,0,0,0,0,0
"G00648",1243,1696,1041,659,1124,1104,411,525,1679,1753,1880
"G00649",783,1177,436,44,607,816,177,431,1166,746,1051
"G00650",88,128,84,94,162,143,30,62,131,96,237
"G00651",1056,1181,1063,1082,1518,1551,874,877,1550,1104,1558
"G00652",288,658,89,1,150,286,14,92,505,383,853
"G00653",641,685,163,1,170,285,15,396,481,526,398
"G00654",2174,1652,3714,1412,3304,3833,1481,1783,2259,2047,1935
"G00655",378,307,279,166,1297,1456,143,923,622,1283,323
"G00656",331,342,418,89,500,470,221,143,293,427,749
"G00657",0,1,0,0,0,2,1,0,0,0,0
"G00658",2079,3474,3395,2868,2783,3160,3830,5391,3080,2292,1484
"G00659",1291,1756,581,97,738,1122,181,798,1167,1032,1641
"G00660",22,47,4,0,27,22,5,6,43,28,29
"G00661",19,94,56,16,49,44,29,42,93,46,50
"G00662",278,455,221,29,334,456,120,95,394,323,441
"G00663",2761,3526,1700,904,2936,4648,806,1405,2995,3252,4210
"G00664",1843,1741,2225,737,3072,2952,1039,1621,2595,2668,3117
"G00665",278,413,68,56,261,389,33,86,444,369,966
"G00666",125,141,45,0,131,150,24,43,142,100,280
"G00667",2098,2001,1453,315,2629,2318,1113,1350,1787,2206,2395
"G00668",1141,1775,380,71,777,1120,13,575,1504,1345,2172
"G00669",1501,1541,1548,513,1167,1810,491,635,1355,1477,1729
"G00670",424,449,157,55,292,380,47,228,427,416,630
"G00671",77,186,36,0,258,500,54,231,187,158,494
"G00672",942,1370,517,241,544,910,176,668,1137,1043,1276
"G00673",141,255,58,13,206,253,65,93,108,210,326
"G00674",2029,3502,3467,1309,7136,6305,1856,1696,3705,2867,3621
"G00675",535,874,276,69,512,859,60,315,722,718,1171
"G00676",213,244,334,87,689,877,112,83,520,301,635
"G00677",104,86,46,26,50,132,17,45,90,61,69
"G00678",375,706,340,50,649,1005,119,142,612,641,955
"G00679",609,852,423,123,549,964,236,387,820,638,973
"G00680",85,112,55,0,225,146,5,86,156,166,230
"G00681",62,254,28,23,121,115,1,72,208,179,238
"G00682",0,0,0,0,0,0,0,0,0,0,0
"G00683",35,96,5,7,124,219,0,28,67,62,151
"G00684",0,3,0,22,46,93,34,2,12,22,65
"G00685",951,971,939,441,1413,1486,585,763,1096,1181,1273
"G00687",12,38,7,0,18,48,0,16,43,21,70
"G00688",2,39,6,0,15,30,0,20,47,25,62
"G00689",52,34,20,20,14,24,19,55,18,25,38
"G00690",320,384,460,203,437,492,152,302,450,461,577
"G00691",3,5,0,0,11,12,16,0,7,3,11
"G00692",1515,2279,968,409,1473,1338,310,810,1594,1373,1580
"G00693",0,0,0,0,0,0,0,1,0,0,0
"G00694",8,12,99,122,843,736,32,0,144,15,114
"G00695",0,0,0,0,0,0,0,0,0,0,0
"G00696",16,40,23,0,35,37,0,8,44,19,65
"G00697",782,1249,385,10,913,1376,83,518,1381,1235,1771
"G00698",0,0,0,0,0,0,0,0,0,0,0
