GeneID,baseMean,Log2FoldChange,lfcSE ,stat ,pvalue ,padj,comparison
Csec_G00370,96.30516116,-0.332590634,1.029576205,-0.323036442,0.746667643,1,Sham vs Control
Csec_G00371,1936.152373,-0.119645759,0.651477083,-0.183653059,0.854285636,1,Sham vs Control
Csec_G00372,635.7741855,-0.342082746,0.515461174,-0.66364406,0.50691815,1,Sham vs Control
Csec_G00373,2261.010907,-0.281248116,0.504970261,-0.556959763,0.577554921,1,Sham vs Control
Csec_G00375,696.9352749,-1.270925811,0.53756905,-2.364209415,0.018068596,0.82861451,Sham vs Control
Csec_G00376,2798.605943,0.695225885,0.47510299,1.463316165,0.143380886,1,Sham vs Control
Csec_G00378,11280.73053,0.062593633,0.560360564,0.111702422,0.911059358,1,Sham vs Control
Csec_G00379,750.0117208,-0.416153928,0.894145475,-0.465420828,0.641630122,1,Sham vs Control
Csec_G00380,33.61264357,0.631957631,1.080663911,0.584786467,0.558691305,1,Sham vs Control
Csec_G00381,1260.895786,-0.576571708,0.474182103,-1.215928868,0.22401202,1,Sham vs Control
Csec_G00384,805.0911465,0.196220547,0.257897509,0.760847004,0.446748456,1,Sham vs Control
Csec_G00385,805.7343903,-0.052955995,0.888641344,-0.05959209,0.952480518,1,Sham vs Control
Csec_G00386,286.3155164,-0.150192129,0.611494053,-0.245615029,0.805980254,1,Sham vs Control
Csec_G00387,53.04193355,-1.920356032,1.374411809,-1.397220265,0.162347345,1,Sham vs Control
Csec_G00388,519.6727894,-0.650695347,1.01970915,-0.638118572,0.523396498,1,Sham vs Control
Csec_G00389,1842.742659,0.465034799,0.676793032,0.687115229,0.492010118,1,Sham vs Control
Csec_G00391,308.7525267,0.083305314,0.744971518,0.111823489,0.910963363,1,Sham vs Control
Csec_G00392,284.3923944,-0.154614756,0.239438152,-0.645739848,0.518447849,1,Sham vs Control
Csec_G00394,1181.734955,-0.071937503,0.509506858,-0.141190451,0.88771949,1,Sham vs Control
Csec_G00395,22.80498304,0.128079882,1.219234022,0.105049465,0.916336558,1,Sham vs Control
Csec_G00396,523.4836478,-0.39716729,0.407875968,-0.973745258,0.33018304,1,Sham vs Control
Csec_G00397,219.987294,0.770940193,0.562275404,1.371107801,0.170341354,1,Sham vs Control
Csec_G00398,122.8454038,-0.139969854,0.511689587,-0.273544465,0.784434717,1,Sham vs Control
Csec_G00399,592.9379642,-0.365910169,0.410286203,-0.891841272,0.372478016,1,Sham vs Control
Csec_G00400,205.2871412,0.162936807,0.923770688,0.176382309,0.859993602,1,Sham vs Control
Csec_G00401,81.34693445,0.077208136,0.92691027,0.083296236,0.933615993,1,Sham vs Control
Csec_G00403,185.5452829,-0.342263072,0.489762048,-0.698835431,0.484654883,1,Sham vs Control
Csec_G00404,29.4608109,0.996073561,0.876052297,1.137002396,0.255537284,1,Sham vs Control
Csec_G00406,1827.887833,-0.003398317,0.169737086,-0.020021061,0.984026572,1,Sham vs Control
Csec_G00407,54.6660371,-0.06269764,0.796646656,-0.078701944,0.9372697,1,Sham vs Control
Csec_G00408,103.1120874,0.090635807,0.565966739,0.160143346,0.872768156,1,Sham vs Control
Csec_G00409,610.2534782,-0.338418187,0.559647537,-0.604698788,0.545379154,1,Sham vs Control
Csec_G00410,340.237997,-0.390686357,0.436398158,-0.895252076,0.370652353,1,Sham vs Control
Csec_G00411,1343.693898,-0.557102255,0.406090534,-1.371867129,0.170104805,1,Sham vs Control
