GeneID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj
G11926,495.0496994,2.736732578,0.58144674,4.706763994,2.52E-06,0.000220387
G00515,34.01663517,2.736660684,0.873640183,3.132480326,0.00173336,0.022376432
G17102,48.55019572,2.73505911,0.941850323,2.903921189,0.003685209,0.036508061
G12389,28.33595042,2.722163551,0.532047303,5.116393857,3.11E-07,4.87E-05
G04167,373.7008265,2.711454631,0.753450032,3.598718583,0.000319789,0.007215131
G03124,48.69161826,2.700714518,0.655012835,4.123147478,3.74E-05,0.001677366
G17309,18.45642459,2.6959334,0.785639084,3.431516398,0.000600217,0.010966754
G05963,367.9894345,2.685953932,0.551565857,4.869688538,1.12E-06,0.000132041
G11927,931.9730773,2.679445201,0.780270645,3.433994623,0.000594756,0.010920139
G02726,920.0430131,2.67064528,0.531029293,5.029186367,4.93E-07,6.78E-05
G09764,998.4117373,2.658514996,0.766865901,3.466727354,0.000526836,0.010087217
G08905,657.224954,2.65761058,0.650530819,4.085295426,4.40E-05,0.00184518
G16058,1058.890699,2.657204384,0.745211042,3.565707208,0.000362876,0.0079025
G05308,7950.226544,2.656241008,0.722414079,3.676895407,0.00023609,0.005785355
G09042,164.1782054,2.650113056,0.671917313,3.944105927,8.01E-05,0.002755468
G15773,25.4590223,2.645216407,0.799562369,3.308330295,0.00093854,0.01477779
G12238,1697.882836,2.643495624,0.856193613,3.087497482,0.002018495,0.024515608
G09883,139.4049506,2.636600686,0.870319658,3.029462408,0.002449894,0.027737406
G14171,1478.791157,2.633573522,0.776271361,3.392593948,0.000692342,0.011974454
G01357,792.029275,2.623891835,0.707130999,3.710616335,0.000206755,0.0053162
G17770,25.66391487,2.613443513,0.763116268,3.424698992,0.000615481,0.011144616
G01285,1781.825253,2.611240811,0.672474691,3.883032101,0.000103162,0.003270364
G16468,258.3614023,2.609713296,0.822804368,3.171729998,0.001515338,0.020425258
G17142,33.17811216,2.608640697,0.809108028,3.224094443,0.001263717,0.018112349
G10001,929.4225094,2.601740308,0.761839581,3.415076312,0.000637641,0.011380644
G14682,362.66838,2.593159295,0.58219415,4.454114312,8.42E-06,0.000552281
G08992,2193.903679,2.591348705,0.862158283,3.005653088,0.002650112,0.0293617
G18107,589.8915453,2.581828777,0.820934478,3.144987629,0.001660939,0.021760576
G09599,156.1829024,2.575882282,0.617066726,4.174398284,2.99E-05,0.001433432
G12460,504.8561526,2.570617571,0.694193973,3.703024904,0.000213044,0.005412116
